aeropuerto_origen,aeropuerto_destino,distancia_entre_aeropuertos
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 21.7025, 'longitud': -102.8639}",3776
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 16.7658, 'longitud': -99.7639}",7779
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 25.7854, 'longitud': -100.1077}",9055
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 32.5362, 'longitud': -117.0203}",6346
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 40.6397, 'longitud': -73.7789}",9701
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': -34.6037, 'longitud': -58.3711}",5201
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 19.1433, 'longitud': -96.1733}",2150
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 19.1433, 'longitud': -96.1733}",4471
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 20.9942, 'longitud': -101.4797}",7145
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 21.7025, 'longitud': -102.8639}",2116
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 50.0333, 'longitud': 8.5705}",7963
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 19.1433, 'longitud': -96.1733}",7394
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 51.47, 'longitud': -0.4543}",3573
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 22.308, 'longitud': 113.9154}",2205
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 49.0128, 'longitud': 2.5489}",590
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 49.0128, 'longitud': 2.5489}",902
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': -33.9461, 'longitud': 151.1771}",4953
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 33.9425, 'longitud': -118.407}",5496
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 19.1433, 'longitud': -96.1733}",8806
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 21.0365, 'longitud': -86.8769}",3406
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': -33.9461, 'longitud': 151.1771}",1077
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 35.7647, 'longitud': 140.3864}",8739
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 49.0128, 'longitud': 2.5489}",6075
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 35.7647, 'longitud': 140.3864}",8784
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 20.5225, 'longitud': -103.3097}",7741
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 20.5225, 'longitud': -103.3097}",5500
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 52.3105, 'longitud': 4.7683}",1810
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 32.5362, 'longitud': -117.0203}",9368
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 20.9942, 'longitud': -101.4797}",9087
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 50.0333, 'longitud': 8.5705}",1649
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 22.1536, 'longitud': -100.9267}",3879
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 25.7854, 'longitud': -100.1077}",1172
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 19.1433, 'longitud': -96.1733}",6196
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 20.9942, 'longitud': -101.4797}",1782
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 50.0333, 'longitud': 8.5705}",8897
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 25.7854, 'longitud': -100.1077}",6320
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 22.308, 'longitud': 113.9154}",8543
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': -34.6037, 'longitud': -58.3711}",9367
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 51.47, 'longitud': -0.4543}",1928
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 20.9942, 'longitud': -101.4797}",3005
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 32.5362, 'longitud': -117.0203}",6226
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 21.0365, 'longitud': -86.8769}",820
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 35.7647, 'longitud': 140.3864}",9206
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': -33.9461, 'longitud': 151.1771}",6443
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 33.9425, 'longitud': -118.407}",3483
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 40.6397, 'longitud': -73.7789}",2491
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 20.9942, 'longitud': -101.4797}",2284
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 20.5225, 'longitud': -103.3097}",682
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 20.5225, 'longitud': -103.3097}",8370
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': -34.6037, 'longitud': -58.3711}",830
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 20.9942, 'longitud': -101.4797}",3251
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 16.7658, 'longitud': -99.7639}",7753
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 21.7025, 'longitud': -102.8639}",5884
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 21.0365, 'longitud': -86.8769}",5930
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 32.5362, 'longitud': -117.0203}",2934
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 50.0333, 'longitud': 8.5705}",9900
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 49.0128, 'longitud': 2.5489}",6416
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 22.308, 'longitud': 113.9154}",3714
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 25.7854, 'longitud': -100.1077}",9412
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 35.7647, 'longitud': 140.3864}",1201
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 20.5225, 'longitud': -103.3097}",7140
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 25.7854, 'longitud': -100.1077}",6492
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 19.4363, 'longitud': -99.0721}",5633
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 20.9942, 'longitud': -101.4797}",7284
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 52.3105, 'longitud': 4.7683}",2590
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 40.6397, 'longitud': -73.7789}",5338
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': -33.9461, 'longitud': 151.1771}",9450
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 22.308, 'longitud': 113.9154}",661
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 35.7647, 'longitud': 140.3864}",4556
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 21.0365, 'longitud': -86.8769}",7422
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 20.9942, 'longitud': -101.4797}",7332
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 22.308, 'longitud': 113.9154}",5857
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 35.7647, 'longitud': 140.3864}",1217
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 19.4363, 'longitud': -99.0721}",7318
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': -33.9461, 'longitud': 151.1771}",6391
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 19.4363, 'longitud': -99.0721}",5214
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 21.7025, 'longitud': -102.8639}",3385
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 33.9425, 'longitud': -118.407}",1559
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': -33.9461, 'longitud': 151.1771}",4745
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 25.7854, 'longitud': -100.1077}",8668
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 52.3105, 'longitud': 4.7683}",9934
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 19.4363, 'longitud': -99.0721}",5585
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 33.9425, 'longitud': -118.407}",4972
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 20.5225, 'longitud': -103.3097}",8193
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 21.7025, 'longitud': -102.8639}",8834
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 21.7025, 'longitud': -102.8639}",7771
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 32.5362, 'longitud': -117.0203}",2300
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 22.308, 'longitud': 113.9154}",6465
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': -34.6037, 'longitud': -58.3711}",9752
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 40.6397, 'longitud': -73.7789}",2003
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': -33.9461, 'longitud': 151.1771}",3315
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 20.5225, 'longitud': -103.3097}",514
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 50.0333, 'longitud': 8.5705}",3912
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 51.47, 'longitud': -0.4543}",2717
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 21.0365, 'longitud': -86.8769}",2635
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 32.5362, 'longitud': -117.0203}",8538
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 21.7025, 'longitud': -102.8639}",7164
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 51.47, 'longitud': -0.4543}",2769
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': -33.9461, 'longitud': 151.1771}",6567
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 20.9942, 'longitud': -101.4797}",4891
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 49.0128, 'longitud': 2.5489}",956
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 52.3105, 'longitud': 4.7683}",3637
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 22.1536, 'longitud': -100.9267}",4535
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': -33.9461, 'longitud': 151.1771}",4619
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 19.4363, 'longitud': -99.0721}",4375
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 50.0333, 'longitud': 8.5705}",3147
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 21.7025, 'longitud': -102.8639}",7700
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 22.1536, 'longitud': -100.9267}",4263
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 50.0333, 'longitud': 8.5705}",7534
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 49.0128, 'longitud': 2.5489}",7678
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 21.7025, 'longitud': -102.8639}",7610
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 22.1536, 'longitud': -100.9267}",5635
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 22.308, 'longitud': 113.9154}",4492
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 25.7854, 'longitud': -100.1077}",3805
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 49.0128, 'longitud': 2.5489}",2681
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 40.6397, 'longitud': -73.7789}",7481
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 51.47, 'longitud': -0.4543}",8772
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 19.1433, 'longitud': -96.1733}",1374
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 16.7658, 'longitud': -99.7639}",954
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 22.308, 'longitud': 113.9154}",4640
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 19.1433, 'longitud': -96.1733}",4963
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 51.47, 'longitud': -0.4543}",5610
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 25.7854, 'longitud': -100.1077}",9500
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 19.1433, 'longitud': -96.1733}",8797
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 25.7854, 'longitud': -100.1077}",6252
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 49.0128, 'longitud': 2.5489}",8819
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 35.7647, 'longitud': 140.3864}",9413
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': -33.9461, 'longitud': 151.1771}",2759
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 19.1433, 'longitud': -96.1733}",9500
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 19.4363, 'longitud': -99.0721}",8876
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 32.5362, 'longitud': -117.0203}",9786
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 19.4363, 'longitud': -99.0721}",3451
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 52.3105, 'longitud': 4.7683}",6823
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 21.7025, 'longitud': -102.8639}",8607
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 20.9942, 'longitud': -101.4797}",6482
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 16.7658, 'longitud': -99.7639}",5100
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 25.7854, 'longitud': -100.1077}",9863
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 35.7647, 'longitud': 140.3864}",5551
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 49.0128, 'longitud': 2.5489}",5781
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 33.9425, 'longitud': -118.407}",9262
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 21.7025, 'longitud': -102.8639}",1019
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 33.9425, 'longitud': -118.407}",1751
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 21.7025, 'longitud': -102.8639}",5183
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 51.47, 'longitud': -0.4543}",7577
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 50.0333, 'longitud': 8.5705}",2479
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 19.1433, 'longitud': -96.1733}",992
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 33.9425, 'longitud': -118.407}",7657
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 21.0365, 'longitud': -86.8769}",9563
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 20.9942, 'longitud': -101.4797}",9057
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 21.7025, 'longitud': -102.8639}",4266
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 33.9425, 'longitud': -118.407}",1858
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': -33.9461, 'longitud': 151.1771}",9380
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 22.1536, 'longitud': -100.9267}",7194
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 22.308, 'longitud': 113.9154}",7737
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 25.7854, 'longitud': -100.1077}",4188
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 22.308, 'longitud': 113.9154}",2141
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 20.9942, 'longitud': -101.4797}",8135
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 51.47, 'longitud': -0.4543}",1752
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 22.1536, 'longitud': -100.9267}",6659
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 19.1433, 'longitud': -96.1733}",6854
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 21.0365, 'longitud': -86.8769}",7081
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 33.9425, 'longitud': -118.407}",3161
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': -34.6037, 'longitud': -58.3711}",8367
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': -33.9461, 'longitud': 151.1771}",4485
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 51.47, 'longitud': -0.4543}",5158
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 22.1536, 'longitud': -100.9267}",9334
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 21.7025, 'longitud': -102.8639}",4175
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 21.0365, 'longitud': -86.8769}",9791
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 19.1433, 'longitud': -96.1733}",3475
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 50.0333, 'longitud': 8.5705}",7038
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 22.1536, 'longitud': -100.9267}",7050
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 22.308, 'longitud': 113.9154}",1694
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 52.3105, 'longitud': 4.7683}",4725
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 20.9942, 'longitud': -101.4797}",7901
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 40.6397, 'longitud': -73.7789}",6682
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 16.7658, 'longitud': -99.7639}",9643
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 35.7647, 'longitud': 140.3864}",582
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 21.0365, 'longitud': -86.8769}",9331
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 49.0128, 'longitud': 2.5489}",6131
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 20.5225, 'longitud': -103.3097}",8024
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 16.7658, 'longitud': -99.7639}",4387
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 22.308, 'longitud': 113.9154}",4612
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': -33.9461, 'longitud': 151.1771}",3181
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 21.0365, 'longitud': -86.8769}",8758
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 19.4363, 'longitud': -99.0721}",7292
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 33.9425, 'longitud': -118.407}",7772
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 22.308, 'longitud': 113.9154}",8391
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 16.7658, 'longitud': -99.7639}",7995
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 21.7025, 'longitud': -102.8639}",4226
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 22.1536, 'longitud': -100.9267}",4798
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 20.9942, 'longitud': -101.4797}",9765
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 16.7658, 'longitud': -99.7639}",6525
"{'latitud': 33.9425, 'longitud': -118.407}","{'latitud': 51.47, 'longitud': -0.4543}",552
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 33.9425, 'longitud': -118.407}",5632
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 22.308, 'longitud': 113.9154}",9965
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 52.3105, 'longitud': 4.7683}",6807
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 32.5362, 'longitud': -117.0203}",6679
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 19.4363, 'longitud': -99.0721}",9187
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 52.3105, 'longitud': 4.7683}",6110
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 49.0128, 'longitud': 2.5489}",5858
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 51.47, 'longitud': -0.4543}",878
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 22.1536, 'longitud': -100.9267}",6340
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 40.6397, 'longitud': -73.7789}",4937
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 22.308, 'longitud': 113.9154}",8458
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 19.1433, 'longitud': -96.1733}",7327
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 51.47, 'longitud': -0.4543}",8160
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 22.1536, 'longitud': -100.9267}",5826
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 50.0333, 'longitud': 8.5705}",3475
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 22.1536, 'longitud': -100.9267}",5214
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 51.47, 'longitud': -0.4543}",8108
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 35.7647, 'longitud': 140.3864}",2423
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 21.0365, 'longitud': -86.8769}",4259
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': -34.6037, 'longitud': -58.3711}",3930
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 19.1433, 'longitud': -96.1733}",7120
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 20.5225, 'longitud': -103.3097}",1011
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 25.7854, 'longitud': -100.1077}",6504
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 19.4363, 'longitud': -99.0721}",7814
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 21.0365, 'longitud': -86.8769}",1213
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 21.0365, 'longitud': -86.8769}",8705
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 32.5362, 'longitud': -117.0203}",8824
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 40.6397, 'longitud': -73.7789}",7530
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 21.0365, 'longitud': -86.8769}",8381
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 21.0365, 'longitud': -86.8769}",5665
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 19.1433, 'longitud': -96.1733}",6960
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 19.4363, 'longitud': -99.0721}",3145
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 33.9425, 'longitud': -118.407}",6523
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': -34.6037, 'longitud': -58.3711}",2870
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': -33.9461, 'longitud': 151.1771}",4537
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 20.5225, 'longitud': -103.3097}",3555
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 21.7025, 'longitud': -102.8639}",7361
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 22.1536, 'longitud': -100.9267}",5037
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 52.3105, 'longitud': 4.7683}",8908
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 22.1536, 'longitud': -100.9267}",3781
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 16.7658, 'longitud': -99.7639}",4725
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 19.4363, 'longitud': -99.0721}",3810
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 22.1536, 'longitud': -100.9267}",7945
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 49.0128, 'longitud': 2.5489}",645
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 35.7647, 'longitud': 140.3864}",7003
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': 21.7025, 'longitud': -102.8639}",4860
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': -34.6037, 'longitud': -58.3711}",9090
"{'latitud': 49.0128, 'longitud': 2.5489}","{'latitud': 33.9425, 'longitud': -118.407}",8924
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 22.1536, 'longitud': -100.9267}",8876
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 49.0128, 'longitud': 2.5489}",2040
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 19.1433, 'longitud': -96.1733}",6997
"{'latitud': 32.5362, 'longitud': -117.0203}","{'latitud': 20.9942, 'longitud': -101.4797}",7853
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': -33.9461, 'longitud': 151.1771}",5108
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 20.9942, 'longitud': -101.4797}",5669
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 22.1536, 'longitud': -100.9267}",1873
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 16.7658, 'longitud': -99.7639}",4866
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 21.7025, 'longitud': -102.8639}",1049
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 19.4363, 'longitud': -99.0721}",7837
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 21.7025, 'longitud': -102.8639}",3912
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 19.1433, 'longitud': -96.1733}",2039
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 51.47, 'longitud': -0.4543}",5342
"{'latitud': 52.3105, 'longitud': 4.7683}","{'latitud': 22.308, 'longitud': 113.9154}",7604
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 20.5225, 'longitud': -103.3097}",3310
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': 35.7647, 'longitud': 140.3864}",8047
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 32.5362, 'longitud': -117.0203}",4356
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': 35.7647, 'longitud': 140.3864}",6738
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 22.308, 'longitud': 113.9154}",1596
