nacionalidad,clase_de_vuelo,frecuencia_de_vuelo,canal_de_venta,satisfaccion_del_cliente,queja
Estadounidense,Ejecutiva,12,Ventanilla,4,Otros
Europea,Ejecutiva,12,Agencia,2,Otros
Sudamericana,Primera clase,1,Sitio web,5,Servicio deficiente
Canadiense,Primera clase,8,Sitio web,2,Pérdida de equipaje
Mexicana,Ejecutiva,6,Teléfono,2,Retraso
Europea,Ejecutiva,2,Agencia,5,Otros
Asiática,Primera clase,9,Ventanilla,3,Pérdida de equipaje
Europea,Ejecutiva,5,Ventanilla,3,Servicio deficiente
Canadiense,Primera clase,2,Agencia,5,Otros
Asiática,Económica,2,Teléfono,4,Servicio deficiente
Asiática,Económica,5,Sitio web,4,Otros
Canadiense,Primera clase,10,Ventanilla,5,Servicio deficiente
Canadiense,Ejecutiva,1,Teléfono,3,Servicio deficiente
Europea,Económica,9,Ventanilla,4,Otros
Estadounidense,Ejecutiva,3,Teléfono,2,Servicio deficiente
Canadiense,Ejecutiva,9,Teléfono,1,Pérdida de equipaje
Estadounidense,Primera clase,5,Teléfono,3,Servicio deficiente
Asiática,Económica,12,Ventanilla,2,Servicio deficiente
Sudamericana,Económica,1,Ventanilla,5,Retraso
Europea,Económica,12,Ventanilla,2,Pérdida de equipaje
Canadiense,Ejecutiva,2,Sitio web,2,Retraso
Asiática,Económica,10,Ventanilla,5,Otros
Canadiense,Primera clase,10,Agencia,5,Retraso
Europea,Económica,6,Sitio web,5,Otros
Asiática,Primera clase,9,Teléfono,5,Retraso
Mexicana,Económica,12,Teléfono,2,Retraso
Mexicana,Primera clase,5,Sitio web,3,Servicio deficiente
Canadiense,Primera clase,9,Agencia,4,Retraso
Asiática,Económica,8,Sitio web,3,Pérdida de equipaje
Sudamericana,Primera clase,7,Ventanilla,1,Retraso
Asiática,Primera clase,11,Agencia,3,Otros
Europea,Ejecutiva,1,Ventanilla,2,Otros
Estadounidense,Económica,10,Teléfono,2,Servicio deficiente
Europea,Primera clase,3,Agencia,2,Retraso
Asiática,Primera clase,6,Agencia,2,Pérdida de equipaje
Mexicana,Primera clase,6,Sitio web,3,Pérdida de equipaje
Estadounidense,Primera clase,9,Agencia,2,Otros
Europea,Ejecutiva,6,Ventanilla,1,Pérdida de equipaje
Mexicana,Primera clase,6,Sitio web,2,Otros
Europea,Primera clase,10,Sitio web,5,Retraso
Estadounidense,Primera clase,5,Sitio web,1,Retraso
Estadounidense,Primera clase,2,Sitio web,4,Retraso
Asiática,Primera clase,6,Ventanilla,3,Otros
Mexicana,Ejecutiva,6,Agencia,3,Pérdida de equipaje
Canadiense,Ejecutiva,4,Agencia,2,Retraso
Estadounidense,Ejecutiva,2,Sitio web,2,Retraso
Canadiense,Primera clase,4,Agencia,2,Pérdida de equipaje
Europea,Económica,4,Sitio web,4,Otros
Sudamericana,Ejecutiva,2,Ventanilla,1,Otros
Europea,Ejecutiva,3,Teléfono,1,Pérdida de equipaje
Sudamericana,Económica,3,Agencia,1,Servicio deficiente
Europea,Económica,12,Sitio web,1,Otros
Estadounidense,Ejecutiva,2,Ventanilla,1,Servicio deficiente
Estadounidense,Ejecutiva,7,Teléfono,3,Otros
Canadiense,Económica,2,Agencia,4,Otros
Asiática,Primera clase,5,Ventanilla,4,Servicio deficiente
Europea,Ejecutiva,5,Agencia,3,Pérdida de equipaje
Asiática,Económica,2,Sitio web,4,Otros
Asiática,Económica,1,Agencia,5,Servicio deficiente
Estadounidense,Ejecutiva,3,Sitio web,5,Pérdida de equipaje
Estadounidense,Ejecutiva,1,Agencia,3,Servicio deficiente
Estadounidense,Ejecutiva,6,Sitio web,2,Otros
Europea,Primera clase,9,Sitio web,1,Retraso
Europea,Primera clase,7,Agencia,2,Retraso
Sudamericana,Ejecutiva,12,Agencia,2,Otros
Estadounidense,Ejecutiva,2,Agencia,2,Pérdida de equipaje
Mexicana,Primera clase,2,Ventanilla,5,Servicio deficiente
Asiática,Ejecutiva,7,Sitio web,3,Servicio deficiente
Mexicana,Primera clase,12,Teléfono,1,Pérdida de equipaje
Canadiense,Económica,9,Sitio web,1,Pérdida de equipaje
Europea,Primera clase,7,Sitio web,4,Retraso
Sudamericana,Primera clase,2,Teléfono,4,Retraso
Asiática,Ejecutiva,7,Sitio web,1,Otros
Asiática,Económica,7,Agencia,5,Retraso
Estadounidense,Ejecutiva,6,Teléfono,5,Pérdida de equipaje
Estadounidense,Primera clase,4,Sitio web,3,Otros
Estadounidense,Económica,9,Sitio web,5,Pérdida de equipaje
Estadounidense,Primera clase,11,Agencia,2,Otros
Canadiense,Primera clase,2,Teléfono,4,Pérdida de equipaje
Asiática,Económica,9,Sitio web,2,Otros
Sudamericana,Económica,6,Ventanilla,3,Servicio deficiente
Europea,Económica,10,Agencia,3,Otros
Canadiense,Económica,1,Teléfono,4,Otros
Europea,Ejecutiva,4,Ventanilla,5,Servicio deficiente
Mexicana,Ejecutiva,6,Sitio web,2,Retraso
Asiática,Ejecutiva,7,Ventanilla,1,Otros
Sudamericana,Primera clase,5,Ventanilla,2,Otros
Sudamericana,Económica,11,Teléfono,4,Otros
Sudamericana,Económica,3,Sitio web,3,Otros
Canadiense,Primera clase,11,Sitio web,4,Servicio deficiente
Canadiense,Ejecutiva,7,Teléfono,1,Retraso
Canadiense,Económica,2,Agencia,2,Retraso
Asiática,Ejecutiva,3,Ventanilla,1,Otros
Mexicana,Ejecutiva,1,Sitio web,5,Servicio deficiente
Asiática,Ejecutiva,2,Agencia,1,Servicio deficiente
Europea,Económica,10,Sitio web,3,Retraso
Canadiense,Primera clase,2,Teléfono,1,Servicio deficiente
Canadiense,Ejecutiva,12,Agencia,4,Servicio deficiente
Mexicana,Económica,12,Agencia,4,Servicio deficiente
Asiática,Primera clase,11,Agencia,2,Otros
Asiática,Ejecutiva,4,Teléfono,5,Otros
Europea,Primera clase,10,Teléfono,4,Servicio deficiente
Estadounidense,Ejecutiva,5,Sitio web,5,Retraso
Canadiense,Ejecutiva,10,Teléfono,2,Pérdida de equipaje
Europea,Ejecutiva,6,Ventanilla,2,Pérdida de equipaje
Asiática,Ejecutiva,10,Teléfono,1,Otros
Europea,Económica,1,Teléfono,4,Servicio deficiente
Canadiense,Primera clase,4,Agencia,2,Servicio deficiente
Estadounidense,Económica,1,Ventanilla,4,Servicio deficiente
Europea,Económica,10,Sitio web,3,Retraso
Sudamericana,Económica,1,Ventanilla,1,Otros
Mexicana,Económica,3,Sitio web,4,Otros
Mexicana,Económica,6,Sitio web,2,Otros
Canadiense,Económica,4,Teléfono,3,Otros
Asiática,Ejecutiva,6,Teléfono,5,Otros
Europea,Ejecutiva,2,Ventanilla,1,Retraso
Mexicana,Económica,9,Teléfono,4,Servicio deficiente
Sudamericana,Ejecutiva,1,Teléfono,1,Servicio deficiente
Asiática,Primera clase,8,Agencia,2,Retraso
Canadiense,Primera clase,10,Agencia,5,Servicio deficiente
Canadiense,Ejecutiva,2,Ventanilla,2,Retraso
Mexicana,Ejecutiva,2,Teléfono,1,Otros
Europea,Ejecutiva,7,Agencia,4,Pérdida de equipaje
Europea,Ejecutiva,3,Sitio web,2,Otros
Estadounidense,Primera clase,3,Ventanilla,2,Retraso
Europea,Primera clase,2,Teléfono,2,Servicio deficiente
Estadounidense,Económica,6,Ventanilla,5,Otros
Mexicana,Primera clase,11,Sitio web,3,Pérdida de equipaje
Canadiense,Económica,6,Sitio web,1,Pérdida de equipaje
Sudamericana,Económica,10,Teléfono,4,Otros
Canadiense,Ejecutiva,2,Sitio web,2,Retraso
Europea,Económica,9,Teléfono,5,Pérdida de equipaje
Asiática,Primera clase,12,Agencia,2,Pérdida de equipaje
Sudamericana,Ejecutiva,11,Teléfono,4,Otros
Canadiense,Ejecutiva,4,Ventanilla,5,Retraso
Estadounidense,Económica,4,Teléfono,3,Servicio deficiente
Canadiense,Ejecutiva,12,Teléfono,2,Otros
Estadounidense,Económica,7,Sitio web,5,Otros
Mexicana,Económica,6,Ventanilla,5,Otros
Mexicana,Económica,8,Agencia,2,Retraso
Asiática,Primera clase,11,Agencia,5,Otros
Canadiense,Económica,5,Ventanilla,3,Servicio deficiente
Canadiense,Económica,7,Teléfono,4,Otros
Sudamericana,Económica,2,Ventanilla,3,Retraso
Mexicana,Ejecutiva,3,Agencia,4,Otros
Asiática,Primera clase,8,Ventanilla,2,Servicio deficiente
Asiática,Primera clase,4,Ventanilla,3,Retraso
Europea,Primera clase,6,Agencia,1,Servicio deficiente
Estadounidense,Primera clase,7,Teléfono,4,Retraso
Sudamericana,Ejecutiva,10,Teléfono,3,Otros
Sudamericana,Primera clase,12,Teléfono,4,Pérdida de equipaje
Sudamericana,Económica,11,Agencia,1,Pérdida de equipaje
Asiática,Primera clase,2,Sitio web,3,Otros
Estadounidense,Ejecutiva,9,Agencia,2,Retraso
Estadounidense,Económica,5,Sitio web,5,Retraso
Sudamericana,Económica,9,Agencia,1,Retraso
Europea,Ejecutiva,3,Ventanilla,4,Retraso
Canadiense,Económica,5,Sitio web,4,Pérdida de equipaje
Estadounidense,Primera clase,1,Agencia,3,Otros
Europea,Económica,6,Agencia,1,Servicio deficiente
Mexicana,Primera clase,7,Agencia,1,Otros
Sudamericana,Primera clase,10,Ventanilla,2,Otros
Sudamericana,Primera clase,8,Sitio web,1,Retraso
Estadounidense,Primera clase,7,Sitio web,1,Retraso
Estadounidense,Primera clase,2,Sitio web,3,Servicio deficiente
Estadounidense,Ejecutiva,5,Ventanilla,4,Retraso
Europea,Económica,4,Ventanilla,1,Otros
Canadiense,Primera clase,2,Agencia,1,Servicio deficiente
Asiática,Económica,8,Ventanilla,4,Retraso
Sudamericana,Primera clase,3,Teléfono,1,Otros
Canadiense,Económica,3,Sitio web,5,Pérdida de equipaje
Europea,Económica,9,Sitio web,3,Servicio deficiente
Mexicana,Ejecutiva,5,Ventanilla,4,Pérdida de equipaje
Europea,Primera clase,9,Agencia,2,Pérdida de equipaje
Mexicana,Primera clase,7,Ventanilla,3,Pérdida de equipaje
Canadiense,Económica,6,Teléfono,1,Otros
Estadounidense,Primera clase,2,Ventanilla,3,Servicio deficiente
Mexicana,Ejecutiva,8,Sitio web,5,Pérdida de equipaje
Estadounidense,Ejecutiva,12,Agencia,3,Pérdida de equipaje
Canadiense,Ejecutiva,7,Teléfono,2,Retraso
Sudamericana,Ejecutiva,11,Teléfono,4,Servicio deficiente
Canadiense,Primera clase,5,Agencia,5,Pérdida de equipaje
Estadounidense,Ejecutiva,8,Sitio web,3,Retraso
Canadiense,Primera clase,3,Agencia,2,Servicio deficiente
Estadounidense,Primera clase,1,Teléfono,2,Retraso
Europea,Primera clase,7,Ventanilla,3,Otros
Estadounidense,Económica,8,Sitio web,2,Pérdida de equipaje
Europea,Ejecutiva,6,Ventanilla,1,Servicio deficiente
Canadiense,Económica,6,Agencia,4,Servicio deficiente
Canadiense,Económica,8,Ventanilla,4,Otros
Asiática,Primera clase,7,Sitio web,3,Otros
Mexicana,Económica,3,Agencia,1,Pérdida de equipaje
Europea,Económica,9,Teléfono,1,Retraso
Mexicana,Económica,12,Ventanilla,3,Servicio deficiente
Canadiense,Primera clase,1,Agencia,4,Pérdida de equipaje
Asiática,Económica,9,Teléfono,1,Servicio deficiente
Sudamericana,Económica,11,Sitio web,5,Servicio deficiente
Sudamericana,Ejecutiva,11,Teléfono,5,Retraso
Canadiense,Primera clase,8,Teléfono,3,Retraso
Europea,Primera clase,10,Sitio web,1,Servicio deficiente
Mexicana,Ejecutiva,9,Agencia,3,Otros
Asiática,Primera clase,6,Ventanilla,4,Retraso
Canadiense,Económica,3,Agencia,4,Retraso
Canadiense,Ejecutiva,10,Teléfono,2,Pérdida de equipaje
Asiática,Primera clase,4,Ventanilla,4,Retraso
Estadounidense,Primera clase,6,Agencia,1,Otros
Canadiense,Ejecutiva,11,Sitio web,3,Otros
Asiática,Económica,2,Teléfono,4,Servicio deficiente
Europea,Primera clase,8,Agencia,3,Pérdida de equipaje
Europea,Primera clase,6,Agencia,1,Servicio deficiente
Mexicana,Primera clase,1,Ventanilla,2,Pérdida de equipaje
Europea,Económica,9,Agencia,3,Servicio deficiente
Sudamericana,Ejecutiva,7,Agencia,4,Retraso
Asiática,Económica,9,Agencia,2,Retraso
Europea,Económica,1,Teléfono,4,Pérdida de equipaje
Canadiense,Económica,4,Agencia,5,Servicio deficiente
Canadiense,Ejecutiva,1,Sitio web,3,Servicio deficiente
Estadounidense,Económica,7,Teléfono,5,Retraso
Sudamericana,Ejecutiva,12,Agencia,3,Pérdida de equipaje
Canadiense,Ejecutiva,2,Teléfono,4,Retraso
Estadounidense,Primera clase,4,Ventanilla,4,Otros
Canadiense,Ejecutiva,5,Sitio web,4,Otros
Europea,Económica,4,Agencia,5,Otros
Sudamericana,Económica,11,Sitio web,2,Otros
Europea,Ejecutiva,3,Sitio web,3,Otros
Europea,Primera clase,3,Agencia,1,Servicio deficiente
Asiática,Ejecutiva,5,Ventanilla,2,Servicio deficiente
Estadounidense,Económica,11,Teléfono,2,Otros
Asiática,Económica,8,Teléfono,3,Pérdida de equipaje
Estadounidense,Ejecutiva,11,Ventanilla,4,Retraso
Estadounidense,Ejecutiva,7,Agencia,4,Servicio deficiente
Europea,Económica,6,Teléfono,4,Retraso
Canadiense,Primera clase,2,Ventanilla,5,Servicio deficiente
Canadiense,Primera clase,7,Teléfono,5,Servicio deficiente
Asiática,Económica,9,Agencia,5,Otros
Asiática,Económica,4,Teléfono,4,Otros
Estadounidense,Primera clase,5,Agencia,3,Otros
Mexicana,Primera clase,7,Agencia,1,Servicio deficiente
Sudamericana,Primera clase,3,Teléfono,5,Pérdida de equipaje
Europea,Ejecutiva,6,Teléfono,1,Otros
Mexicana,Primera clase,12,Teléfono,2,Otros
Canadiense,Primera clase,12,Ventanilla,5,Otros
Canadiense,Económica,2,Sitio web,4,Otros
Estadounidense,Económica,3,Ventanilla,3,Pérdida de equipaje
Sudamericana,Primera clase,11,Ventanilla,4,Otros
Europea,Primera clase,7,Teléfono,4,Retraso
Mexicana,Económica,6,Agencia,4,Otros
Mexicana,Ejecutiva,11,Agencia,5,Pérdida de equipaje
Mexicana,Ejecutiva,3,Agencia,2,Otros
Asiática,Ejecutiva,3,Agencia,3,Pérdida de equipaje
Canadiense,Económica,10,Teléfono,1,Pérdida de equipaje
Mexicana,Primera clase,3,Teléfono,5,Otros
Sudamericana,Primera clase,8,Ventanilla,4,Servicio deficiente
Mexicana,Económica,12,Agencia,3,Pérdida de equipaje
Europea,Ejecutiva,7,Teléfono,5,Otros
Sudamericana,Económica,3,Ventanilla,1,Retraso
Europea,Ejecutiva,4,Teléfono,4,Pérdida de equipaje
Estadounidense,Ejecutiva,9,Teléfono,5,Pérdida de equipaje
Europea,Ejecutiva,7,Agencia,3,Servicio deficiente
Sudamericana,Primera clase,12,Teléfono,3,Otros
Europea,Económica,1,Teléfono,4,Retraso
Mexicana,Económica,12,Sitio web,3,Otros
Sudamericana,Primera clase,2,Ventanilla,2,Servicio deficiente
Estadounidense,Económica,9,Agencia,1,Otros
Canadiense,Económica,5,Agencia,5,Servicio deficiente
Asiática,Primera clase,5,Sitio web,1,Servicio deficiente
Sudamericana,Primera clase,8,Agencia,4,Servicio deficiente
Mexicana,Económica,11,Ventanilla,1,Otros
Europea,Económica,3,Sitio web,3,Pérdida de equipaje
Canadiense,Ejecutiva,5,Sitio web,3,Retraso
Asiática,Ejecutiva,11,Agencia,5,Otros
Canadiense,Primera clase,6,Teléfono,2,Pérdida de equipaje
Mexicana,Ejecutiva,6,Ventanilla,1,Servicio deficiente
Estadounidense,Ejecutiva,3,Sitio web,4,Otros
Asiática,Ejecutiva,10,Teléfono,2,Pérdida de equipaje
Asiática,Ejecutiva,9,Teléfono,4,Retraso
Europea,Económica,12,Teléfono,4,Otros
Mexicana,Económica,7,Agencia,2,Pérdida de equipaje
Europea,Primera clase,12,Teléfono,4,Retraso
Estadounidense,Ejecutiva,7,Sitio web,4,Pérdida de equipaje
Canadiense,Económica,10,Teléfono,5,Otros
Asiática,Ejecutiva,7,Sitio web,4,Otros
Asiática,Primera clase,9,Ventanilla,2,Servicio deficiente
Mexicana,Económica,10,Teléfono,2,Servicio deficiente
Asiática,Primera clase,6,Ventanilla,1,Otros
Asiática,Económica,5,Sitio web,5,Retraso
Estadounidense,Económica,9,Teléfono,3,Retraso
Estadounidense,Primera clase,12,Teléfono,4,Servicio deficiente
Estadounidense,Económica,6,Teléfono,5,Retraso
Canadiense,Ejecutiva,12,Ventanilla,2,Pérdida de equipaje
Asiática,Ejecutiva,12,Ventanilla,4,Otros
Estadounidense,Primera clase,1,Agencia,4,Otros
Sudamericana,Ejecutiva,10,Agencia,4,Otros
Europea,Primera clase,4,Teléfono,4,Retraso
Asiática,Económica,4,Teléfono,5,Retraso
Canadiense,Ejecutiva,4,Sitio web,2,Retraso
Estadounidense,Económica,5,Teléfono,5,Retraso
Canadiense,Económica,9,Teléfono,3,Pérdida de equipaje
Estadounidense,Ejecutiva,2,Teléfono,2,Otros
Canadiense,Ejecutiva,10,Ventanilla,5,Pérdida de equipaje
Asiática,Económica,11,Teléfono,5,Otros
Canadiense,Ejecutiva,2,Teléfono,1,Pérdida de equipaje
Europea,Primera clase,4,Ventanilla,4,Servicio deficiente
Europea,Primera clase,4,Sitio web,2,Servicio deficiente
Europea,Ejecutiva,1,Agencia,1,Otros
Sudamericana,Económica,3,Teléfono,3,Otros
Sudamericana,Económica,9,Teléfono,2,Otros
Canadiense,Primera clase,7,Sitio web,4,Otros
Europea,Ejecutiva,10,Sitio web,3,Pérdida de equipaje
Mexicana,Primera clase,10,Agencia,2,Otros
Sudamericana,Económica,4,Agencia,3,Retraso
Asiática,Ejecutiva,2,Sitio web,5,Servicio deficiente
Europea,Ejecutiva,12,Teléfono,5,Otros
Mexicana,Económica,1,Agencia,2,Servicio deficiente
Asiática,Económica,11,Agencia,3,Retraso
Europea,Primera clase,5,Agencia,5,Pérdida de equipaje
Europea,Económica,6,Sitio web,2,Servicio deficiente
Mexicana,Primera clase,7,Teléfono,4,Servicio deficiente
Mexicana,Ejecutiva,2,Agencia,1,Servicio deficiente
Estadounidense,Económica,1,Ventanilla,3,Pérdida de equipaje
Mexicana,Primera clase,3,Teléfono,5,Servicio deficiente
Mexicana,Primera clase,12,Teléfono,3,Servicio deficiente
Sudamericana,Ejecutiva,1,Ventanilla,4,Pérdida de equipaje
Canadiense,Económica,1,Agencia,1,Servicio deficiente
Canadiense,Ejecutiva,8,Agencia,4,Pérdida de equipaje
Sudamericana,Ejecutiva,11,Sitio web,4,Servicio deficiente
Sudamericana,Primera clase,2,Sitio web,3,Otros
Mexicana,Económica,9,Sitio web,3,Otros
Sudamericana,Primera clase,11,Sitio web,3,Retraso
Mexicana,Primera clase,12,Sitio web,2,Servicio deficiente
Canadiense,Económica,4,Teléfono,1,Pérdida de equipaje
Europea,Económica,1,Ventanilla,4,Servicio deficiente
Asiática,Ejecutiva,2,Ventanilla,4,Retraso
Asiática,Económica,4,Sitio web,2,Servicio deficiente
Canadiense,Primera clase,10,Ventanilla,3,Servicio deficiente
Canadiense,Económica,12,Sitio web,2,Pérdida de equipaje
Estadounidense,Primera clase,5,Teléfono,2,Pérdida de equipaje
Europea,Primera clase,1,Teléfono,3,Servicio deficiente
Europea,Ejecutiva,2,Agencia,2,Servicio deficiente
Asiática,Primera clase,10,Sitio web,2,Retraso
Sudamericana,Primera clase,2,Agencia,2,Pérdida de equipaje
Asiática,Económica,3,Ventanilla,2,Pérdida de equipaje
Canadiense,Económica,12,Agencia,1,Retraso
Mexicana,Primera clase,6,Sitio web,3,Servicio deficiente
Europea,Ejecutiva,9,Ventanilla,3,Pérdida de equipaje
Mexicana,Económica,6,Ventanilla,5,Otros
Sudamericana,Primera clase,2,Teléfono,5,Otros
Mexicana,Económica,8,Teléfono,5,Servicio deficiente
Europea,Primera clase,9,Sitio web,3,Retraso
Asiática,Económica,3,Ventanilla,3,Retraso
Mexicana,Ejecutiva,3,Ventanilla,1,Otros
Mexicana,Ejecutiva,12,Teléfono,1,Retraso
Asiática,Económica,2,Sitio web,2,Servicio deficiente
Asiática,Primera clase,4,Sitio web,2,Retraso
Canadiense,Ejecutiva,4,Agencia,3,Otros
Europea,Primera clase,11,Sitio web,4,Pérdida de equipaje
Estadounidense,Económica,9,Agencia,4,Pérdida de equipaje
Estadounidense,Económica,11,Teléfono,4,Otros
Mexicana,Primera clase,3,Agencia,3,Otros
Canadiense,Ejecutiva,10,Ventanilla,2,Servicio deficiente
Sudamericana,Primera clase,7,Agencia,4,Otros
Sudamericana,Ejecutiva,12,Ventanilla,2,Pérdida de equipaje
Mexicana,Ejecutiva,10,Sitio web,3,Servicio deficiente
Canadiense,Económica,3,Ventanilla,1,Servicio deficiente
Asiática,Ejecutiva,11,Ventanilla,2,Pérdida de equipaje
Europea,Económica,11,Agencia,5,Servicio deficiente
Estadounidense,Económica,5,Sitio web,3,Pérdida de equipaje
Canadiense,Primera clase,6,Teléfono,2,Servicio deficiente
Sudamericana,Primera clase,6,Agencia,3,Otros
Canadiense,Primera clase,7,Ventanilla,5,Servicio deficiente
Estadounidense,Ejecutiva,7,Ventanilla,2,Pérdida de equipaje
Asiática,Primera clase,10,Agencia,2,Pérdida de equipaje
Europea,Ejecutiva,8,Agencia,4,Servicio deficiente
Mexicana,Primera clase,2,Agencia,3,Retraso
Canadiense,Económica,4,Sitio web,4,Servicio deficiente
Mexicana,Económica,1,Sitio web,4,Pérdida de equipaje
Europea,Primera clase,10,Teléfono,2,Pérdida de equipaje
Canadiense,Económica,10,Sitio web,5,Retraso
Europea,Ejecutiva,8,Ventanilla,3,Servicio deficiente
Sudamericana,Económica,5,Agencia,1,Otros
Sudamericana,Primera clase,10,Teléfono,4,Retraso
Estadounidense,Primera clase,6,Ventanilla,3,Servicio deficiente
Estadounidense,Primera clase,11,Ventanilla,1,Pérdida de equipaje
Canadiense,Primera clase,1,Agencia,4,Retraso
Mexicana,Ejecutiva,1,Teléfono,1,Pérdida de equipaje
Asiática,Económica,7,Agencia,4,Otros
Asiática,Ejecutiva,12,Agencia,4,Retraso
Estadounidense,Primera clase,8,Ventanilla,3,Otros
Asiática,Económica,11,Sitio web,4,Pérdida de equipaje
Sudamericana,Ejecutiva,2,Teléfono,2,Otros
Europea,Primera clase,7,Ventanilla,5,Pérdida de equipaje
Sudamericana,Ejecutiva,4,Teléfono,1,Retraso
Sudamericana,Ejecutiva,5,Teléfono,5,Pérdida de equipaje
Sudamericana,Ejecutiva,7,Sitio web,2,Retraso
Asiática,Económica,7,Agencia,3,Retraso
Sudamericana,Económica,6,Teléfono,5,Retraso
Mexicana,Primera clase,10,Ventanilla,3,Pérdida de equipaje
Mexicana,Ejecutiva,6,Ventanilla,4,Pérdida de equipaje
Asiática,Ejecutiva,4,Sitio web,3,Retraso
Europea,Económica,7,Sitio web,4,Pérdida de equipaje
Estadounidense,Económica,11,Sitio web,3,Pérdida de equipaje
Europea,Económica,11,Agencia,4,Otros
Estadounidense,Ejecutiva,9,Teléfono,4,Servicio deficiente
Estadounidense,Económica,4,Ventanilla,4,Otros
Sudamericana,Ejecutiva,1,Teléfono,2,Pérdida de equipaje
Asiática,Ejecutiva,9,Agencia,3,Pérdida de equipaje
Canadiense,Ejecutiva,12,Teléfono,4,Servicio deficiente
Sudamericana,Económica,12,Sitio web,3,Pérdida de equipaje
Mexicana,Ejecutiva,1,Ventanilla,4,Pérdida de equipaje
Asiática,Ejecutiva,3,Teléfono,3,Servicio deficiente
Europea,Ejecutiva,11,Sitio web,2,Otros
Sudamericana,Ejecutiva,9,Sitio web,2,Otros
Mexicana,Ejecutiva,7,Agencia,2,Servicio deficiente
Mexicana,Económica,4,Agencia,3,Otros
Estadounidense,Económica,6,Ventanilla,1,Retraso
Canadiense,Primera clase,1,Teléfono,2,Servicio deficiente
Canadiense,Primera clase,12,Ventanilla,1,Otros
Canadiense,Ejecutiva,6,Sitio web,3,Retraso
Mexicana,Económica,7,Ventanilla,1,Pérdida de equipaje
Sudamericana,Económica,2,Agencia,2,Otros
Mexicana,Ejecutiva,5,Teléfono,2,Otros
Asiática,Primera clase,8,Ventanilla,1,Otros
Asiática,Ejecutiva,4,Ventanilla,3,Servicio deficiente
Sudamericana,Primera clase,9,Agencia,5,Retraso
Sudamericana,Ejecutiva,5,Ventanilla,5,Pérdida de equipaje
Canadiense,Económica,6,Agencia,3,Servicio deficiente
Estadounidense,Económica,3,Agencia,5,Servicio deficiente
Sudamericana,Económica,3,Agencia,5,Retraso
Sudamericana,Económica,3,Ventanilla,4,Pérdida de equipaje
Asiática,Ejecutiva,4,Ventanilla,5,Retraso
Mexicana,Ejecutiva,1,Teléfono,2,Retraso
Europea,Económica,12,Agencia,3,Pérdida de equipaje
Estadounidense,Ejecutiva,3,Ventanilla,5,Pérdida de equipaje
Europea,Económica,7,Agencia,5,Otros
Europea,Ejecutiva,2,Sitio web,5,Retraso
Mexicana,Económica,11,Sitio web,3,Servicio deficiente
Europea,Primera clase,3,Agencia,5,Retraso
Canadiense,Ejecutiva,7,Ventanilla,1,Otros
Canadiense,Primera clase,5,Ventanilla,5,Pérdida de equipaje
Mexicana,Ejecutiva,3,Teléfono,5,Servicio deficiente
Canadiense,Económica,6,Ventanilla,5,Retraso
Canadiense,Primera clase,4,Agencia,5,Pérdida de equipaje
Sudamericana,Económica,3,Ventanilla,2,Pérdida de equipaje
Mexicana,Ejecutiva,11,Sitio web,5,Otros
Canadiense,Primera clase,10,Teléfono,1,Pérdida de equipaje
Estadounidense,Económica,11,Agencia,4,Servicio deficiente
Mexicana,Ejecutiva,12,Agencia,5,Retraso
Canadiense,Ejecutiva,9,Teléfono,5,Pérdida de equipaje
Sudamericana,Primera clase,9,Teléfono,4,Retraso
Mexicana,Ejecutiva,11,Teléfono,1,Servicio deficiente
Estadounidense,Primera clase,6,Sitio web,2,Otros
Estadounidense,Ejecutiva,9,Sitio web,5,Servicio deficiente
Mexicana,Primera clase,11,Agencia,1,Otros
Canadiense,Ejecutiva,9,Sitio web,3,Otros
Canadiense,Primera clase,8,Teléfono,5,Otros
Estadounidense,Primera clase,8,Ventanilla,5,Pérdida de equipaje
Europea,Económica,6,Ventanilla,1,Retraso
Canadiense,Económica,3,Sitio web,2,Pérdida de equipaje
Canadiense,Económica,7,Sitio web,2,Pérdida de equipaje
Mexicana,Ejecutiva,4,Sitio web,3,Retraso
Sudamericana,Económica,10,Ventanilla,5,Otros
Europea,Económica,8,Sitio web,4,Pérdida de equipaje
Asiática,Primera clase,8,Ventanilla,4,Servicio deficiente
Mexicana,Ejecutiva,7,Sitio web,5,Retraso
Mexicana,Económica,1,Teléfono,2,Otros
Estadounidense,Ejecutiva,3,Agencia,3,Otros
Estadounidense,Primera clase,10,Sitio web,2,Otros
Sudamericana,Primera clase,2,Agencia,5,Servicio deficiente
Europea,Económica,2,Sitio web,5,Retraso
Asiática,Económica,5,Teléfono,5,Pérdida de equipaje
Asiática,Económica,6,Teléfono,2,Pérdida de equipaje
Mexicana,Ejecutiva,2,Sitio web,4,Servicio deficiente
Estadounidense,Económica,9,Ventanilla,2,Otros
Estadounidense,Primera clase,7,Ventanilla,4,Otros
Asiática,Económica,5,Sitio web,4,Otros
Estadounidense,Económica,7,Teléfono,3,Pérdida de equipaje
Mexicana,Primera clase,11,Ventanilla,4,Retraso
Sudamericana,Ejecutiva,7,Sitio web,5,Servicio deficiente
Europea,Primera clase,10,Agencia,4,Otros
Sudamericana,Económica,11,Ventanilla,2,Otros
Canadiense,Ejecutiva,6,Ventanilla,3,Retraso
Canadiense,Económica,1,Teléfono,2,Pérdida de equipaje
Estadounidense,Económica,9,Teléfono,3,Retraso
